n02512938 fish
n02778669 ball
n02810471 battery
n02815834 beaker
n02870526 book
n02876657 bottle
n02880940 bowl
n02883344 box
n02908217 brush
n02946921 can
n02948072 candle
n02974697 case
n02992529 mobile_phone
n02992795 tape
n03008976 charger
n03085602 screen
n03128248 crayon
n03147509 cup
n03261776 earphone
n03331599 cable
n03359137 flashlight
n03418915 garlic_press
n03438257 glass
n03441112 glove
n03454885 grater
n03481172 hammer
n03593526 jar
n03613294 key
n03614007 keyboard
n03633091 ladle
n03666591 lighter
n03691459 speaker
n03775546 mixing_bowl
n03786901 mortar
n03793489 mouse
n03797390 mug
n03848348 opener
n03880323 pan
n03904909 peeler
n03906997 pen
n03908204 pencil
n03960490 plate
n03990474 pot
n03991062 flowerpot
n04074963 remote_control
n04118776 ruler
n04122825 bag
n04148054 scissors
n04154565 screwdriver
n04183329 shaker
n04216634 sieve
n04269944 spatual
n04272054 glasses
n04284002 spoon
n04303497 stapler
n04380255 fork
n04380346 knife
n04392113 tape_measure
n04401088 telephone
n04438304 timer
n04450749 tongs
n04461879 toy
n04555897 watch
n04578934 whisk
n04606574 wrench
n05238282 skin
n06415419 notebook
n07679356 bread
n07710616 potato
n07713074 eggplant
n07714990 broccoli
n07715561 squash
n07718472 cucumber
n07720442 pepper
n07722217 onion
n07723039 leek
n07723559 lettuce
n07730207 carrot
n07734017 tomato
n07739125 apple
n07747607 orange
n07749582 lemon
n07749731 lime
n07751004 peach
n07751451 plum
n07753275 pineapple
n07753592 banana
n07754684 jackfruit
n07755411 melon
n07757132 cherry
n07758680 grape
n07763629 kiwi
n07764155 mango
n07764847 avocado
n07767847 pear
n07818277 garlic
n07840804 egg
n07850329 cheese
n13136316 bean
n13864035 bulb
n13914608 block
